cord_uid,Microsoft Academic Paper ID
xqhn0vbp,2154842730
2su7oqbz,1501059295
1wswi7us,1573009562
t20z4mtt,2141362211
04cuk2cn,2157240503
wt8zfqk0,1531966263
xtg0e142,1905858949
ri5v6u4x,2128002149
1i36lsj2,1576188308
52vixim5,1778200240
ztkjm79p,1954573267
jw1lxwyd,2096084431
zc491h8v,2130986323
r8j6lhoc,2059651558
ln8ddyuj,1565157642
eqiokrub,2151842746
ndnze5o4,1720476171
rxbcuseq,2048237985
9mzs5dl4,1657739899
ofx0hvvs,2098924425
fghu8ouc,1562773625
g2f151oc,2048527505
er3mnkyf,1508259457
do5c85ad,2090737761
4s71mh8j,2133623408
v0na73zt,2158067661
stgj6olw,2145678595
lqnjqpdj,1569650715
uzzuoy9v,2145678900
8f0pn321,2061684327
9011s995,2161428851
kzhj0efp,2102842925
ygnbt4jb,2041085612
ki9f6ssk,1571498828
il35gs97,2098578848
m9xu4zyr,2059638803
at9jg710,2057929614
124czudi,1993936331
8plec8t4,1904010656
1ypgij14,1606917100
1n0rg5vd,2154594890
kt9pmfdr,2119165739
pbhvz1k0,2141681998
bs3j3nss,2151847720
ehnqhled,1768823902
u1y1bznk,1495610572
sophqqne,1526110796
8gp5m2m6,1899955388
n2r4pzan,2080495646
dlmx12vt,1968574388
yd6odwke,1977212784
d2jbuhct,1973789806
dh9n3j23,2086502286
hveuq2x9,1976618940
zgv4kd6j,2089872148
z5klydpi,2107216455
5u0i6kue,2040142876
20los4eg,2081997160
vnn4135b,2069483687
sabz03c0,2021389541
czoul5o8,1836533636
74d2mb70,2002512903
u4qhk802,2164673283
mzn448zk,2059523274
tp3qt9pb,2046759954
8cixsjrf,2020418945
xfzhn1n1,2169401431
1c4m2fym,2136353285
9trzqzep,2036016578
lcqjbz5j,2071385589
uxknan3t,2071574279
5ns2t5i2,2037930292
0pt6dxb3,1993249814
7jszm1nd,2080462782
f7eqdxpv,2058829512
k2kcva43,2141941994
kamvao4b,2056166226
1eksm537,2068388206
735m0znd,2160329838
fw6q4qpq,2013614359
ueglfhux,2143297413
5uze06rp,2168488250
xsq6excp,2096025413
fpsyem7x,2067860469
v8wd4f3r,2035044316
zt6i3o86,2095518178
5t6g5yli,2108969967
c6wxnd1i,2087117638
zbxiaofl,2114440934
3dgjv0x1,2097391624
hx77tpbt,2096163853
095u8eaj,2167528060
5j496cx0,2096227842
cuyrw4nc,2090269616
sasijnks,2098014088
t1dpo0pl,2080089116
8em6kpwk,2139781755
h4r0jpy5,2034463249
ow2xqhmp,2098926635
qww6pe61,2156633403
z8zkl2xh,2061901080
e05ktb83,2052754460
u0fs6xcj,2137415264
5kuoxxn3,1964264010
1u2fkwx3,2130657296
ue15waq7,2021663275
bpjkwcfb,2052655883
yyz7z0xj,2021946063
kyw4ptr2,2000731922
tqfzfvsj,2119550090
b701u13h,2023111901
mz0j6jdv,2121920677
6kkqoh7f,2076982815
i2acghft,2132575119
1aqt65cc,2016386013
4txctk7k,2139383620
n7zewksh,2164231104
ls20a2ve,1987622004
vqi3db9w,2128987008
dcemhfl8,2125093954
bf1wmbyw,2107312029
6zyj0ixp,2133956457
csro48ks,2002277848
19noki6p,2087062028
36nks5os,1993462898
swrsaqoc,2006401375
264h6aao,2093630275
c2o42b5j,2036104557
a3jk6w90,2149222743
eslgz1ka,2098410114
ehp0q0ry,2145363782
vgf5ri83,2096417122
vg8bwed9,2169125196
ajz4ef44,1977968410
zso72hho,2121316546
l0uya9dh,2088267428
d0eur1hq,2060139000
9ezhwvv9,2099966695
96migwaq,2141497474
out6zg61,2111305887
5i0w74q4,2093035155
qjowxcdl,2155476590
txk5z8ub,2036868483
dk3fdl6i,2143130884
b23xm6sg,2008117782
medz36m5,2129113294
vufephkg,2169058060
7658dmvk,2144336920
t74b5j2j,2104823981
5agqknvu,2088298294
7bkf7wrs,2110335307
1qo06ypf,2065126563
emdlh9d9,2003224068
yxtdqjay,2171202247
gbdaad4l,2030095751
2xvd5ogf,2021551988
i7ts5fbq,2102036163
gloxcpzq,2145962023
pwps783y,2075607565
e41t1roa,2050706936
hwjkbpqp,199194796
ciy10kob,2109017362
9r9ll83m,2099731870
8y8ho2x5,2088918459
k58gx6sf,2153250225
8pd6jdb5,2092637586
ixytcvge,2046153984
bcdiq8xh,2105314995
sw4wtxdk,2037775688
howix091,2064048288
hi7z3nob,1992079221
cge5uve3,2009848140
d2mb2b3d,2155164361
8do6k9z1,2058492265
bjdkod56,2033576856
o4k7auph,2032596399
ge5iri3v,2056270929
fhp3pbts,2000634530
dxo8l9gu,2127217664
4bripmvh,2045996885
4c1nuv2p,1979289100
fec4kt20,2073560054
0xn6mqh6,2154408371
g2p2dqs1,2138807793
hd12p867,2071648818
fk60pph3,2159088440
9hghy9pd,2088173462
ahifxfhn,2104284128
lluqlzlg,2114881809
fijy00cz,2153819224
fzu4gzb2,2014384259
2lz03oqb,2137455874
7docv0dt,2073923590
zne3nd51,2021099440
0coq33k9,2105332579
nj23h32n,2032909496
wczw4vn1,2005095482
94c1mudi,1985031137
ps49oh7h,2150487476
3ahp9tli,2140760519
n2v4v51j,2014035347
hgpn8oba,2092472974
ctikde7d,2112825470
3n05cb49,2015426605
aqjl4lj0,2061984431
ujf6v8x0,2094560393
xwfptmmv,2070649162
7foxfw5a,2093628322
5ur9du2p,2057550814
uzgfx0fc,2161430524
19sejitq,2092142218
t98ed1gb,2144798878
qg541qho,2162102112
zpk3gjwo,1977550432
0q928h3b,2053432859
vhrikgpi,2117198818
bd2ndoug,2145317919
d0a8y5qh,2137664170
evgw0as5,2161182253
i7navmbn,2068438963
ly8b07no,2025740733
q41elfwt,2133669054
fw2aw6k8,1967222745
k2a0q9y8,2044561652
qcvoxf4o,2055315617
eklwwu1j,2036935713
twf6g5t3,2006599744
s30p3a23,2049191397
zolwjl9u,2023275569
81csdj78,2029234060
rb45gk2w,1971260005
u5q0jnpn,2027307555
qde4so1x,2152381946
86uauafy,2145734828
w49cqg60,1986799651
l2pfl776,2124796747
ld06k56y,2162256410
cz42gvhy,2064396919
qzdcje5w,72356855
vl296i1b,2095796776
kv1zyy58,2166946613
pamxy4av,2019186807
8kuovpcs,1996139256
9b6yz3f4,2048486660
y9yz8xrh,2050843600
jvs25q21,2098059264
qzkpik3z,1977780605
u4649rtx,2078951043
d3a06n3f,1992243226
mcuk184k,1975123527
j7fx64k1,2101156468
at4j87fn,2125174512
987w5i6t,2102517794
31zn1fyt,2067370561
gt2pwc9b,2060359883
4by61id3,2160326461
x6m02voy,2008908249
d69o3z8d,2161284151
zwslhjju,2137000530
ddv86eoy,2058772313
sh7fn4z4,2136724174
olcuq6tm,2047204112
6yvdv1xk,1974924282
aof7xy13,1992387408
f9cgt2z3,2021540724
6jyv0q5e,2137203717
crolji1q,1563158585
s7kzp795,2101058639
v5y9s97b,2106164323
tlluxd11,2038990588
2eq24jth,2120399100
x6bvjkbk,2145124315
asuxx1ln,1976706943
mx0lk0d8,1981546644
q9nlwflu,2010364678
3wwgjug6,2025816689
a67st6gy,2069572129
ku5v5cbm,2146209638
avvxppzm,2097096783
sdlls3ry,2120869211
fzpuu59i,2044756081
5bg7tswp,2158626315
ff2zadol,1985674238
zbuv1za4,2094091078
9ka3jdbf,2025437724
sva2otk4,1992344082
6e0xfi8b,2098981058
97tcohzf,2154460512
ri7wfzyn,1977240303
dt125n8d,2009712634
ryksi3zz,2155297294
ncbbno22,2081972483
4w9lbkz0,2107282357
pjdogrs4,2057385763
zroskqmk,2132946928
stmw36ei,1972289746
w14finxf,2070993664
jawdlnr2,2014180288
2fhiz3an,2016222582
v3w6eu5y,2158674971
0yqv2osb,1975358728
okdiyk1m,2002485440
8n65rgfz,2149374594
xm41lkcp,1976755126
96mrxt8a,2097501223
ckzn5otr,2087775289
sxc6uue6,2071857805
vguwpa3w,1994195919
87hb11be,2001560968
abgr0ft1,2138417107
psaf2vls,1980907251
zk74rl6z,2084434546
ankun2ew,2166901471
qsw8ncdw,2070281432
6xfi9jea,2149378058
0r1b44id,2081662083
wfekg2wl,2133788139
dxcvc8na,2121569001
ppzxvykb,2143593035
ccwhf276,2055907168
wp4rch6v,2046163222
5y9kfyk9,2116099098
staq8byl,2071680235
auwm2qj0,2071633990
0vke9lch,2108885691
ga3mk6be,2079656551
5gglmx9d,2130926595
e18licyc,2100845109
n0rubc72,2002977421
3keht8ge,2053217880
jppdl104,2593772583
i3rr3df7,2116258636
kifsxqq2,2026974080
9p82ryd4,2040080454
jp8y1owf,2027393411
0qkzd2w4,1964361575
6l0xl2cj,2009315361
neeftptx,2107489144
9ibswt32,2117385835
r5dz24oj,2081356962
8au7ee79,1976723930
wfegmnr5,1999559508
6qd5qyb0,2027382538
3qdjmb2j,2154981459
ar6uzk28,2000105900
kxwgpymq,2026696380
3v4vkcit,2040381911
m8bxzoxv,2082819526
0mmtcbof,2162714415
fiizu59h,2008703933
2w7hc6hp,2138118122
gzq9xpe0,2013791279
rrkzac8b,2154435853
hhebiwca,2154567652
oa1uoqu5,2079064267
ll6lkhyd,2012080636
uj96zdld,2033478413
0hbql0ye,2141886448
rb8wg8k5,1971523676
cpjlzutk,2042792327
8m7spnxj,1967453525
2fytbfa0,2167331562
v08d3oag,2002959623
100ir651,1970148391
xz87wg74,1988744559
qla8ee8m,2158734363
f9dcm9zx,2165094234
60ji2cnl,2168542894
m3m3t4oy,2042078851
qntruvi5,2067147241
q6501gmd,1998335482
64igat2s,2157738397
3xeg6kue,1964451109
15rcq4sh,2143245040
0ht2ap9g,2130515362
ygv673j3,2159271473
yk9af4aj,2060239884
kxze0470,2135726036
psv59vtp,2005276833
haszvpis,1989802291
zo9uzk52,2133684931
c2jpdf1j,2017349063
g1zynbul,2079929038
tt9eq7e0,2045398577
cs4t6ufp,2050416447
c8wn20cc,2055054870
qudp2wc1,2042412961
3qyralpi,2010919644
jwbuwa9k,1969124369
og3etub9,1976261391
9hu5k31y,2133093500
fp144dhv,2096002647
s7bgvece,2028892695
0u0u348d,2134429257
e0tcmzl2,2170715543
dg90gulb,1964382281
ndptuv68,2050509264
zss38mct,2041039529
fcl2g5wr,2084107861
tsvzg0ax,2164988816
085v7n6k,2135632717
scfdlk5s,2110557807
izef7p9g,2056274203
esrguepi,2109308895
28huc2gx,2022922561
rlebw9ez,2063759587
97dsp9d0,2080506240
qitzkfqj,2111517065
a0bqliei,2008844787
4z7yfj5s,2065307239
0m3p1xbz,2066983820
6fu3dzi9,2113746382
ggsstwcm,2061755692
dy7djsah,1992836077
wvm2ua95,2035216962
4k8j7gi7,1997994933
mzyfnv4w,2009404442
1lrr0acz,2131843801
g5sum116,2052702884
0vsf67nh,2041635409
owglyw7d,1966406361
2mfbqs8i,2012504769
1piyoafd,2162174872
e0wmnfyn,2136085069
